curation,Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop,Trait ID,Trait name,Trait class,Trait description,Trait synonyms,Main trait abbreviation,Alternative trait abbreviations,Entity,Attribute,Trait status,Trait Xref,Method ID,Method name,Method class,Method description,Formula,Method reference,Scale ID,Scale name,Scale class,Decimal places,Lower limit,Upper limit,Scale Xref,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10
,CO_334:0000008,sprouting proportion,"sprout, sprout_comp_r",Breeding trials,default,Recommended,,IITA,Peter Kulakow Coordinator,,EN,Cassava,CO_334:0000472,Sprouting,Agronomic,Proportion of stakes germinated,Proportion of germinated stakes,sprout,,Germinated stake,Proportion,Recommended,,CO_334:0010220,Counting:Sprouting_method,Computation,The number of germinated stakes divided by the total number of planted stakes scored one month after planting,,Dixon et al 2010 Fukuda et al 2010,CO_334:0100426,ratio,Numerical,,,,,,,,,,,,,,
,CO_334:0000009,initial vigor assessment 1-7,"IVig_IITAVisScg_1to7, Can't fall when there is strong wind, vigor",Breeding trials,default,Recommended,,IITA,Peter Kulakow Coordinator,,EN,Cassava,CO_334:0000386,Initial Vigor,Agronomic,Initial plant vigor at one month after planting,Initial plant vigor,PlntIVigor,vigor,,Initial vigor,Recommended,,CO_334:0010228,Visual Rating:Initial Vigor_method,Estimation,Trait monitored by observing plant vigor one month after planting,,Dixon et al 2010 Fukuda et al 2010,CO_334:0100434,7 pt scale,Ordinal,,,,,1 =,2 =,3 = Low,4 =,5 = Intermediate,6 =,7 = High,,,
,CO_334:0000010,plant stands harvested counting,"nohav, NoHvstPlnt_Count_Plnt",Breeding trials,default,Recommended,,IITA,Peter Kulakow Coordinator,,EN,Cassava,CO_334:0000434,Plant Stands Harvested,Agronomic,Number of plant stands harvested,,nohav,,,Number,Recommended,,CO_334:0010284,Counting:Plant Stands Harvested_method,Counting,Count the number of plant stands that are harvested in a plot,,Dixon et al 2010 Fukuda et al 2010,CO_334:0100490,Plant,Numerical,,,,,,,,,,,,,,
,CO_334:0000011,root number per plot counting,"rtno, plotrtno, NoHvstRt_Count_Rt",Breeding trials,default,Recommended,,IITA,Peter Kulakow Coordinator,,EN,Cassava,CO_334:0000452,Root Number,Agronomic,Number of harvested marketable storage roots,"Marketable root number, Root Number - Cassavabase",RtNo,,,Number,Recommended,,CO_334:0010285,Counting:Root Number_method,Counting,Count the number of storage root per plot harvest,,Dixon et al 2010 Fukuda et al 2010,CO_334:0100491,Root,Numerical,,,,,,,,,,,,,,
,CO_334:0000012,fresh storage root weight per plot,"rtwt, RtWt_Wgh_kg",Breeding trials,default,Recommended,,IITA,Peter Kulakow Coordinator,,EN,Cassava,CO_334:0000493,Storage root weight,Agronomic,Weight of harvested storage root,Fresh Weight of Storage Root - Cassavabase,RtWt,,,Weight,Recommended,,CO_334:0010286,Measurement :Fresh Weight of Storage Root_method,Measurement,Weigh harvested storage roots per plot at harvest,,Dixon et al 2010 Fukuda et al 2010,CO_334:0100492,kg,Numerical,,,,,,,,,,,,,,
,CO_334:0000013,fresh root yield,"Can provide at least ten cassava tubers per plant stand, Can easily fill a sack or the truck, RtYld_Fresh_tha, fyld",Breeding trials,,Recommended,,IITA,Peter Kulakow Coordinator,,EN,Cassava,CO_334:0000456,Root yield,Agronomic,Tuberous root yield,,RtYld,,Tuberous root,Yield,Recommended,,CO_334:0010329,Calculation :Fresh Root Yield_method,Computation,Calculated as weight of fresh storage roots expressed in tons per hectares per plant at harvest,,Dixon et al 2010 Fukuda et al 2010,CO_334:0100535,t/ha,Numerical,,,,,,,,,,,,,,
,CO_334:0000014,dry yield,"dyld, RtYld_Dry_tha",Breeding trials,,Recommended,,IITA,Peter Kulakow Coordinator,,EN,Cassava,CO_334:0000456,Root yield,Agronomic,Tuberous root yield,,RtYld,,Tuberous root,Yield,Recommended,,CO_334:0010330,Calculation :Dry Yield_method,Computation,Dry weight of harvested roots derived by multiplying fresh storage root yield by dry matter content expressed in tons per hectares.,,Dixon et al 2010 Fukuda et al 2010,CO_334:0100536,t/ha,Numerical,,,,,,,,,,,,,,
,CO_334:0000015,harvest index variable,HI,,,Recommended,,,,,EN,Cassava,CO_334:0000267,Harvest index,Agronomic trait,,,,,,,Recommended,,CO_334:0010512,Calculation: Harvest index_method,Computation,Plot biomass estimated as the ratio of root weight and the sum of root and shoot weight,,,CO_334:0100582,ratio,Numerical,,,,,,,,,,,,,,
,CO_334:0000016,fresh shoot weight measurement in kg per plot,"shtwt, ShWt_Meas_kg",Breeding trials,default,Recommended,,IITA,Peter Kulakow Coordinator,,EN,Cassava,CO_334:0000369,Fresh Shoot Weight,Agronomic,Total fresh weight of harvested foliage and stems,,ShFrWe,,,Fresh weight,Recommended,,CO_334:0010287,Measurement :Fresh Shoot Weight_method,Measurement,Weigh foliage and stems per plot at harvest,,Dixon et al 2010 Fukuda et al 2010,CO_334:0100493,kg,Numerical,,,,,,,,,,,,,,
,CO_334:0000017,top yield,"RtYld_FreshAerial_tha, tyld",Breeding trials,,Recommended,,IITA,Peter Kulakow Coordinator,,EN,Cassava,CO_334:0000456,Root yield,Agronomic,Tuberous root yield,,RtYld,,Tuberous root,Yield,Recommended,,CO_334:0010332,Calculation :Top Yield_method,Computation,Calculated as weight of foliage and stems expressed in tons per hectares per plot at harvest,,Dixon et al 2010 Fukuda et al 2010,CO_334:0100538,t/ha,Numerical,,,,,,,,,,,,,,
,CO_334:0000018,plant height measurement in cm,"PlntH_Meas_cm, pltht",Characterization trials,default,Recommended,,IITA,Peter Kulakow Coordinator,,EN,Cassava,CO_334:0000432,Plant Height,Agronomic,Height of plant at harvest from ground level to top of canopy,,pltht,,,Height,Recommended,,CO_334:0010303,Measurement :Plant Height_method,Measurement,Measured as height from ground level to the top of canopy at harvest,,Dixon et al 2010 Fukuda et al 2010,CO_334:0100509,cm,Numerical,,,,,,,,,,,,,,
