Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop
CO_366:0000021,PShelling_Cp_pct,,Trial evaluation,Post-Harvest,,,IBP,Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000024,SdFat_M_pct,,Trial evaluation,Post-Harvest,,,"IBP, IPGRI",Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000027,SdProt_M_pct,,Trial evaluation,Post-Harvest,,,"IBP, IPGRI",Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000031,StmHair_E_0to9,,Nursery evaluation,Harvest,,,"IBP, IPGRI",Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000035,NoduCap_E_0to9,,"Nursery evaluation, Trial evaluation",,,,"IBP, IPGRI","Julian Pietragalla, Michael Abberton",,EN,Bambara groundnut
CO_366:0000039,GH_E_1to3,,Trial evaluation,,,,"IBP, IITA, IPGRI","Julian Pietragalla, Michael Abberton, Sean Mayes",,EN,Bambara groundnut
CO_366:0000043,SdSh_E_1to3,,"Nursery evaluation, Trial evaluation",Post-Harvest,,,"IBP, IITA, IPGRI","Julian Pietragalla, Michael Abberton",,EN,Bambara groundnut
CO_366:0000047,TLfltCol_E_1to4,,Nursery evaluation,,,,"IBP, IITA, IPGRI","Julian Pietragalla, Michael Abberton",,EN,Bambara groundnut
CO_366:0000051,Ptext_E_1to4,,"Nursery evaluation, Trial evaluation",Post-Harvest,,,"IBP, IITA, IPGRI","Julian Pietragalla, Michael Abberton",,EN,Bambara groundnut
CO_366:0000055,TLfltSh_E_1to5,,Nursery evaluation,,,,"IBP, IITA, IPGRI","Julian Pietragalla, Michael Abberton, Sean Mayes",,EN,Bambara groundnut
CO_366:0000059,PSh_E_1to5,,"Nursery evaluation, Trial evaluation",Post-Harvest,,,"IBP, IITA, IPGRI","Julian Pietragalla, Michael Abberton",,EN,Bambara groundnut
CO_366:0000063,PCol_E_1to6,,"Nursery evaluation, Trial evaluation",Post-Harvest,,,"IBP, IPGRI",Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000066,AlSus_E_1to9,,Research-intensive characterization,,,,"IBP, IPGRI",Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000069,DroSus_E_1to9,,Research-intensive characterization,,,,"IBP, IPGRI",Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000072,FrostSus_E_1to9,,Research-intensive characterization,,,,"IBP, IPGRI",Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000075,HTempSus_E_1to9,,Research-intensive characterization,,,,"IBP, IPGRI",Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000078,SaltSus_E_1to9,,Research-intensive characterization,,,,"IBP, IPGRI",Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000081,AlteLfSpotSus_E_1to9,,"Nursery evaluation, Trial evaluation",,,,IBP,Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000084,AscBlightSus_E_1to9,,"Nursery evaluation, Trial evaluation",,,,IBP,Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000087,BCMVSus_E_1to9,,"Nursery evaluation, Trial evaluation",,,,IBP,Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000090,BeanBugSus_E_1to9,,"Nursery evaluation, Trial evaluation",,,,IBP,Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000093,BruchidSus_E_1to9,,"Nursery evaluation, Trial evaluation",,,,IBP,Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000096,BSMVSus_E_1to9,,"Nursery evaluation, Trial evaluation",,,,IBP,Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000099,CABMVSus_E_1to9,,"Nursery evaluation, Trial evaluation",,,,IBP,Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000102,CercLfSpotSus_E_1to9,,"Nursery evaluation, Trial evaluation",,,,"IBP, IITA","Julian Pietragalla, Michael Abberton",,EN,Bambara groundnut
CO_366:0000105,ChiBruchidSus_E_1to9,,"Nursery evaluation, Trial evaluation",,,,IBP,Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000108,CMVSus_E_1to9,,"Nursery evaluation, Trial evaluation",,,,IBP,Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000111,CocoaWvlSus_E_1to9,,"Nursery evaluation, Trial evaluation",,,,IBP,Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000114,CowpeaWvilSus_E_1to9,,"Nursery evaluation, Trial evaluation",,,,IBP,Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000117,CPMMVSus_E_1to9,,"Nursery evaluation, Trial evaluation",,,,IBP,Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000120,CPMoVSus_E_1to9,,"Nursery evaluation, Trial evaluation",,,,IBP,Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000123,CPMVSus_E_1to9,,"Nursery evaluation, Trial evaluation",,,,IBP,Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000126,DidyLfSpotSus_E_1to9,,"Nursery evaluation, Trial evaluation",,,,IBP,Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000129,FusaWiltSus_E_1to9,,"Nursery evaluation, Trial evaluation",,,,IBP,Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000132,PeMoVSus_E_1to9,,"Nursery evaluation, Trial evaluation",,,,IBP,Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000135,PhylLfSpotSus_E_1to9,,"Nursery evaluation, Trial evaluation",,,,IBP,Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000138,PowMildewSus_E_1to9,,"Nursery evaluation, Trial evaluation",,,,IBP,Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000141,RootKnotSus_E_1to9,,"Nursery evaluation, Trial evaluation",,,,IBP,Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000144,SclerRootRotSus_E_1to9,,"Nursery evaluation, Trial evaluation",,,,IBP,Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000147,SuckingBugSus_E_1to9,,"Nursery evaluation, Trial evaluation",,,,IBP,Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000150,VNMVSus_E_1to9,,"Nursery evaluation, Trial evaluation",,,,IBP,Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000154,StmBrnchN_Ct_brnch,,Trial evaluation,Harvest,,,"IBP, IITA","Julian Pietragalla, Michael Abberton",,EN,Bambara groundnut
CO_366:0000157,PlntH_M_cm,,"Nursery evaluation, Trial evaluation",,,,"IBP, IPGRI, IITA, UoN","Julian Pietragalla, Michael Abberton, Sean Mayes",,EN,Bambara groundnut
CO_366:0000160,PlntSpread_M_cm,,"Nursery evaluation, Trial evaluation",,,,"IBP, UoN","Julian Pietragalla, Sean Mayes",,EN,Bambara groundnut
CO_366:0000162,Emer_Date_ymd,,"Nursery evaluation, Trial evaluation",Emergence,,,IBP,Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000164,Flw_DateFirst_ymd,,"Nursery evaluation, Trial evaluation",Flowering,,,IBP,Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000166,Flw_DateHalf_ymd,,"Nursery evaluation, Trial evaluation",Flowering,,,IBP,Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000168,Mat_Date_ymd,,"Nursery evaluation, Trial evaluation",Maturity,,,IBP,Julian Pietragalla,,EN,Bambara groundnut
